"Brewery_ID","BeerName","Beer_ID","ABV","IBU","Style","Ounces"
52,"Top Rope Mexican-style Craft Lager",466,0.048,15,"Vienna Lager",12
52,"Upslope Craft Lager",444,0.048,22,"Vienna Lager",12
54,"Moar",2558,0.044,44,"English India Pale Ale (IPA)",12
54,"Nordic Blonde",2556,0.057,27,"American Blonde Ale",12
56,"Mazzie",2553,0.054,45,"American Pale Ale (APA)",12
58,"Weissenheimer",2550,0.052,16,"Hefeweizen",12
58,"Abbey's Single (2015- )",2505,0.049,22,"Abbey Single Ale",12
58,"Vertex IPA",2025,0.063,76,"American IPA",12
58,"Here Gose Nothin'",2021,0.05,12,"Gose",12
58,"Hoperation Overload",1888,0.096,85,"American Double / Imperial IPA",12
58,"Abbey's Single Ale (Current)",1887,0.049,22,"Abbey Single Ale",12
59,"Make It So",2549,0.053,40,"Extra Special / Strong Bitter (ESB)",12
59,"Hopvale Organic Ale",2473,0.047,55,"American Pale Ale (APA)",16
59,"Unchained #18 Hop Silo",2415,0.083,100,"American Double / Imperial IPA",16
61,"Passion Fruit Prussia",2545,0.035,11,"Berliner Weissbier",12
61,"Send Help",2544,0.045,18,"American Blonde Ale",12
61,"Contact High",1870,0.05,28,"American Pale Wheat Ale",12
62,"BLAKKR",1739,0.099,85,"American Black Ale",16
62,"Overrated! West Coast Style IPA",1112,0.073,69,"American IPA",16
62,"WET",329,0.075,90,"American IPA",16
62,"Bitter Brewer",19,0.04,37,"English Bitter",16
62,"SurlyFest",18,0.055,34,"Rye Beer",16
62,"Coffee Bender",17,0.051,45,"American Brown Ale",16
62,"Bender",16,0.051,45,"American Brown Ale",16
62,"Abrasive Ale",15,0.097,120,"American Double / Imperial IPA",16
62,"Hell",14,0.051,20,"Keller Bier / Zwickel Bier",16
62,"CynicAle",13,0.067,33,"Saison / Farmhouse Ale",16
62,"Furious",12,0.062,99,"American IPA",16
63,"Citra Ass Down",2540,0.082,68,"American IPA",16
63,"The Brown Note",2539,0.05,20,"American Brown Ale",16
64,"Neomexicanus Native",2538,0.06,46,"American Pale Ale (APA)",12
64,"Old Soul",2355,0.075,25,"Belgian Strong Pale Ale",12
64,"Lava Lake Wit",685,0.052,15,"Witbier",12
64,"Crazy Mountain Amber Ale",356,0.052,25,"American Amber / Red Ale",12
66,"Daft Funk",2530,0.043,8,"Berliner Weissbier",24
67,"OktoberFiesta",2527,0.053,27,"N/A",12
67,"Texicali",2526,0.065,33,"American Brown Ale",12
67,"Bat Outta Helles",2524,0.042,20,"Munich Helles Lager",12
